# In some cases geometries cannot be found according to their hash. That's because
# the might be some variation how the geometry parameters are expressed. For example,
# a longitude "320" can be also expressed as "-40". That's why have to be able to
# define the same geometries in multiple ways. 

# The "fmi_geometries.csv" file is automatically generated time to time. That's why we
# do not want define our "alternative" geometries there (because they would be overridden). 
# Instead we use this file. This is not a perfect solution, but it would take much
# more time to code a solution that would not use hash calculation. So, we are using
# this for now.

1;1081;BLEND0025;4501;1841;320;73.5;0.025;0.025;+x-y;Blend 0.025 degrees;

1;1800;TEST_LL_1;2880;1441;180.000000;-90.000000;0.125043;0.125000;+x+y;Latlon;
1;1801;TEST_LL_2;288;145;180.000000;-90.000000;1.254355;1.25000;+x+y;Latlon;
1;1802;TEST_LL_3;256;258;9.041000;53.025000;0.083333;0.050000;+x+y;Latlon;
1;1803;TEST_LL_4;1440;721;0.000000;-90.000000;0.250000;0.250000;+x+y;Latlon;

9;2000;TEST_PST_1;135;150;6;51.3;15.044707;15.008529;+x+y;20;Polar stereographic area;
9;2001;TEST_PST_2;53;57;6;51.3;38.769052;39.933408;+x+y;20;Polar stereographic area;
9;2002;TEST_PST_3;490;384;336.000000;22.300000;15.989518;15.979782;+x+y;10;Polar stereographic area;
9;2003;TEST_PST_4;255;195;340.780000;25.000000;27.560168;27.775630;+x+y;10;Polar stereographic area;
9;2004;TEST_PST_5;760;1226;18.600000;57.930000;0.999635;0.999171;+x+y;25;Polar stereographic area;
9;2005;TEST_PST_6;6;76;24.747900;59.950800;13.352155;15.810655;+x+y;10;Polar stereographic area;
9;2006;TEST_PST_7;270;300;6;51.300000;7.466632;7.454236;+x+y;20;Polar stereographic area;
9;2007;TEST_PST_8;760;1226;18.600000;57.930000;1.000952;0.999986;+x+y;25;Polar stereographic area;
9;2008;TEST_PST_9;11;25;22.835000;58.932000;15.044409;15.008490;+x+y;20;Polar stereographic area;

2;2101;TEST_RLL_1;72;248;9.678767;-1.696000;0.067998;0.068000;+x+y;0;-30;0,Rotated latlon;
2;2102;TEST_RLL_2;34;38;342.000000;-28.000000;1.500000;1.500000;+x+y;0;-30;0,Rotated latlon;
#2;2103;TEST_RLL_3;34;38;341.729587;29.504661;3.362288;0.887883;+x+y;0;0;-30,Rotated latlon;
